ID	Type	Generation	Formula	InChIKey	SMILES
ACETYL-COA	Coreactant	0	C23H38N7O17P3S	ZSLZBFCDCINBPY-UHFFFAOYSA-N	CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
AMINO_CoF	Coreactant	0	C5H9NO4	WHUUTDBJXJRKMK-VKHMYHEASA-N	N[C@@H](CCC(=O)O)C(=O)O
ASCORBATE_CoF	Coreactant	0	C6H8O6	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
ASCORBATE_RADICAL_CoF	Coreactant	0	C6H7O6	LHFJOBMTAJJOTB-JLAZNSOCSA-N	[O]C1=C(O)C(=O)O[C@@H]1[C@@H](O)CO
CARBONYL_CoF	Coreactant	0	C5H6O5	KPGXRSRHYNQIFN-UHFFFAOYSA-N	O=C(O)CCC(=O)C(=O)O
CO	Coreactant	0	CHO+	XPRMKTHGXOVKEH-UHFFFAOYSA-N	C#[O+]
CO2	Coreactant	0	CO2	CURLTUGMZLYLDI-UHFFFAOYSA-N	O=C=O
CO3	Coreactant	0	CH2O3	BVKZGUZCCUSVTD-UHFFFAOYSA-N	O=C(O)O
CoA	Coreactant	0	C21H36N7O16P3S	RGJOEKWQDUBAIZ-UHFFFAOYSA-N	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS
FADH2_CoF	Coreactant	0	C27H35N9O15P2	YPZRHBJKEMOYQH-UHFFFAOYSA-N	Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1[nH]c(=O)[nH]c(=O)c1N2
FAD_CoF	Coreactant	0	C27H33N9O15P2	VWWQXMAJTJZDQX-UHFFFAOYSA-N	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)c2cc1C
FORMYL_ACCEPTOR_CoF	Coreactant	0	C19H22*N7O5		*C(=O)CCC(NC(=O)c1ccc(NCC2CNc3[nH]c(N)nc(=O)c3N2)cc1)C(=O)O
FORMYL_DONOR_CoF	Coreactant	0	C20H22*N7O6		*C(=O)CCC(NC(=O)c1ccc(N(C=O)CC2CNc3[nH]c(N)nc(=O)c3N2)cc1)C(=O)O
GLUCOSYL_ACCEPTOR_CoF	Coreactant	0	C9H14N2O12P2	XCCTYIAWTASOJW-UHFFFAOYSA-N	O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1
GLUCOSYL_DONOR_CoF	Coreactant	0	C15H24N2O17P2	HSCJRCZFDFQWRP-UHFFFAOYSA-N	O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1
H+	Coreactant	0	H+	GPRLSGONYQIRFK-UHFFFAOYSA-N	[H+]
H2O2	Coreactant	0	H2O2	MHAJPDPJQMAIIY-UHFFFAOYSA-N	OO
HBr	Coreactant	0	HBr	CPELXLSAUQHCOX-UHFFFAOYSA-N	Br
HCN	Coreactant	0	CHN	LELOWRISYMNNSU-UHFFFAOYSA-N	C#N
HCl	Coreactant	0	HCl	VEXZGXHMUGYJMC-UHFFFAOYSA-N	Cl
HF	Coreactant	0	HF	KRHYYFGTRYWZRS-UHFFFAOYSA-N	F
HI	Coreactant	0	HI	XMBWDFGMSWQBCA-UHFFFAOYSA-N	I
METHYL_ACCEPTOR_CoF	Coreactant	0	C14H20N6O5S	ZJUKTBDSGOFHSH-UHFFFAOYSA-N	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
METHYL_DONOR_CoF	Coreactant	0	C15H23N6O5S+	MEFKEPWMEQBLKI-UHFFFAOYSA-O	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
NADH_CoF	Coreactant	0	C21H30N7O17P3	ACFIXJIJDZMPPO-UHFFFAOYSA-N	NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1
NAD_CoF	Coreactant	0	C21H29N7O17P3+	XJLXINKUBYWONI-UHFFFAOYSA-O	NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1
NH3	Coreactant	0	H3N	QGZKDVFQNNGYKY-UHFFFAOYSA-N	N
O2	Coreactant	0	O2	MYMOFIZGZYHOMD-UHFFFAOYSA-N	O=O
Oxidized-Factor-F420_CoF	Coreactant	0	C19H21*N3O11P		*C(=O)C(C)OP(=O)(O)OCC(O)C(O)C(O)Cn1c2[nH]c(=O)nc(=O)c-2cc2ccc(O)cc21
PHOSPHATE_ACCEPTOR_CoF	Coreactant	0	C10H15N5O10P2	XTWYTFMLZFPYCI-UHFFFAOYSA-N	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O
PRENYL_ACCEPTOR_CoF	Coreactant	0	H4O7P2	XPPKVPWEQAFLFU-UHFFFAOYSA-N	O=P(O)(O)OP(=O)(O)O
PRENYL_DONOR_CoF	Coreactant	0	C5H12O7P2	CBIDRCWHNCKSTO-UHFFFAOYSA-N	CC(C)=CCOP(=O)(O)OP(=O)(O)O
PYROPHOSPHATE_ACCEPTOR_CoF	Coreactant	0	C10H14N5O7P	UDMBCSSLTHHNCD-UHFFFAOYSA-N	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
PYROPHOSPHATE_DONOR_CoF	Coreactant	0	C10H16N5O13P3	ZKHQWZAMYRWXGA-UHFFFAOYSA-N	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O
Pi	Coreactant	0	H3O4P	NBIIXXVUZAFLBC-UHFFFAOYSA-N	O=P(O)(O)O
Reduced-Factor-F420_CoF	Coreactant	0	C19H23*N3O11P		*C(=O)C(C)OP(=O)(O)OCC(O)C(O)C(O)CN1c2cc(O)ccc2Cc2c1[nH]c(=O)[nH]c2=O
SULFATE	Coreactant	0	H2O4S	QAOWNCQODCNURD-UHFFFAOYSA-N	O=S(=O)(O)O
SULFATE_ACCEPTOR_CoF	Coreactant	0	C10H15N5O10P2	WHTCPDAXWFLDIH-UHFFFAOYSA-N	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O
SULFATE_DONOR_CoF	Coreactant	0	C10H15N5O13P2S	GACDQMDRPRGCTN-UHFFFAOYSA-N	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(OP(=O)(O)O)C1O
SULFITE	Coreactant	0	H2O3S	LSNNMFCWUKXFEE-UHFFFAOYSA-N	O=S(O)O
Ubiquinols_CoF	Coreactant	0	C6H2*4O2		*c1c(*)c(O)c(*)c(*)c1O
Ubiquinones_CoF	Coreactant	0	C6*4O2		*C1=C(*)C(=O)C(*)=C(*)C1=O
WATER	Coreactant	0	H2O	XLYOFNOQVPJJNP-UHFFFAOYSA-N	O
YMDB00055	Starting Compound	0	C34H34N4O4	KSFOVUSSGSKXFI-UHFFFAOYSA-N	C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C
YMDB00148	Starting Compound	0	C10H10O6	WTFXTQVDAKGDEY-UHFFFAOYSA-N	C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O
YMDB00200	Starting Compound	0	C5H12O7P2	NUHSROFQTUXZQQ-UHFFFAOYSA-N	C=C(C)CCOP(=O)(O)OP(=O)(O)O
YMDB00276	Starting Compound	0	C3H5O6P	DTBNBXWJWCWCIK-UHFFFAOYSA-N	C=C(OP(=O)(O)O)C(=O)O
YMDB00314	Starting Compound	0	C10H11NO5	OIUJHGOLFKDBSU-UHFFFAOYSA-N	C=C(OC1C=C(C(=O)O)C=CC1N)C(=O)O
YMDB00361	Starting Compound	0	C10H13O10P	QUTYKIXIUDQOLK-UHFFFAOYSA-N	C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O
YMDB00540	Starting Compound	0	C28H46O	BTCAEOLDEYPGGE-UHFFFAOYSA-N	C=C(CCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C
YMDB00545	Starting Compound	0	C28H46O	SLQKYSPHBZMASJ-UHFFFAOYSA-N	C=C(CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)CC1CC3)C(C)C
YMDB00605	Starting Compound	0	C28H44O	ZEPNVCGPJXYABB-UHFFFAOYSA-N	C=C(CCC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C)C(C)C
YMDB00606	Starting Compound	0	C28H42O	SQFQJKZSFOZDJY-UHFFFAOYSA-N	C=C(C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C)C(C)C
YMDB00716	Starting Compound	0	C5H6O4	LVHBHZANLOWSRM-UHFFFAOYSA-N	C=C(CC(=O)O)C(=O)O
YMDB01329	Starting Compound	0	C8H14O2	SOGAXMICEFXMKE-UHFFFAOYSA-N	C=C(C)C(=O)OCCCC
YMDB01338	Starting Compound	0	C5H11N	NQRYJNQNLNOLGT-UHFFFAOYSA-N	C1CCNCC1
YMDB01352	Starting Compound	0	C8H16O	VSMOENVRRABVKN-UHFFFAOYSA-N	C=CC(O)CCCCC
YMDB01371	Starting Compound	0	C10H18O	CDOSHBSSFJOMGT-UHFFFAOYSA-N	C=CC(C)(O)CCC=C(C)C
YMDB01377	Starting Compound	0	C3H4O	TVDSBUOJIPERQY-UHFFFAOYSA-N	C#CCO
YMDB01400	Starting Compound	0	C3H7NS	OGYGFUAIIOPWQD-UHFFFAOYSA-N	C1CSCN1
YMDB01413	Starting Compound	0	C13H20O	DUPDJVDPPBFBPL-UHFFFAOYSA-N	C=C1C=CCC(C)(C)C12CCC(C)O2
YMDB01444	Starting Compound	0	C8H14O	KLTVSWGXIAYTHO-UHFFFAOYSA-N	C=CC(=O)CCCCC
YMDB01488	Starting Compound	0	C29H48O	QLDNWJOJCDIMKK-UHFFFAOYSA-N	C=C(CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)C1CC3)C(C)C
YMDB01599	Starting Compound	0	C10H18O2	HZHJGFRDKJPQPV-UHFFFAOYSA-N	C=CC(C)(O)CCC(O)C(=C)C
YMDB01611	Starting Compound	0	C10H18O2	QEOHJVNDENHRCH-UHFFFAOYSA-N	C=CC(C)(O)CC=CC(C)(C)O
YMDB01648	Starting Compound	0	C10H14O	ULDHMXUKGWMISQ-UHFFFAOYSA-N	C=C(C)C1CC=C(C)C(=O)C1
YMDB01678	Starting Compound	0	C10H18O2	BRHDDEIRQPDPMG-UHFFFAOYSA-N	C=CC1(C)CCC(C(C)(C)O)O1
YMDB01685	Starting Compound	0	C6H10O2	SUPCQIBBMFXVTL-UHFFFAOYSA-N	C=C(C)C(=O)OCC
YMDB01714	Starting Compound	0	C10H16O	ZJIQIJIQBTVTDY-UHFFFAOYSA-N	C=CC(C)(O)CC=CC(=C)C
YMDB01728	Starting Compound	0	C12H20O2	UWKAYLJWKGQEPM-UHFFFAOYSA-N	C=CC(C)(CCC=C(C)C)OC(C)=O
YMDB01746	Starting Compound	0	C7H12O2	CFVWNXQPGQOHRJ-UHFFFAOYSA-N	C=CC(=O)OCC(C)C
YMDB01753	Starting Compound	0	C10H16	UAHWPYUMFXYFJY-UHFFFAOYSA-N	C=CC(=C)CCC=C(C)C
YMDB01762	Starting Compound	0	C10H18O	IJFKZRMIRAVXRK-UHFFFAOYSA-N	C=CC(C)=CCCC(C)(C)O
pkc0000001	Predicted	1	C10H18O2	LCRYKIFRBLQIAW-UHFFFAOYSA-N	CC(C)=CCCC(C)(O)C=CO
pkc0000002	Predicted	1	C34H34N4O5	OBRFTVRBPPBGRJ-UHFFFAOYSA-N	C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CO)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C
pkc0000003	Predicted	1	C10H16O	IEVYLQISZQFFGA-UHFFFAOYSA-N	C=CC(=C)CCC=C(C)CO
pkc0000004	Predicted	1	C29H48O2	PSZAWWBINMCYGA-UHFFFAOYSA-N	C=C(CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)C1(O)CC3)C(C)C
pkc0000005	Predicted	1	C28H46O2	QPLNXLPDROFWFX-UHFFFAOYSA-N	C=C(CCC(C)C1(O)CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C
pkc0000006	Predicted	1	C28H42O2	OSWLFWWAPRHZTN-UHFFFAOYSA-N	C=C(C=CC(C)(O)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C)C(C)C
pkc0000007	Predicted	1	C10H18O3	OWMZXJSDPVOPMO-UHFFFAOYSA-N	C=CC(C)(O)CC(O)C(O)C(=C)C
pkc0000008	Predicted	1	C3H4	MWWATHDPGQKSAR-UHFFFAOYSA-N	C#CC
pkc0000009	Predicted	1	C9H14O6	DSKUDOWHGLWCBQ-ZEBDFXRSSA-N	C#CCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
pkc0000010	Predicted	1	C10H15O10P	MFJMDIZTGBOTDK-UHFFFAOYSA-N	C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(O)O
pkc0000011	Predicted	1	C28H46O2	BBFZZNWETAUWBW-UHFFFAOYSA-N	C=C(CCC(C)C1CC(O)C2C3=C(CCC12C)C1(C)CCC(O)CC1CC3)C(C)C
pkc0000012	Predicted	1	C16H30O	WZNMTGJUNOHMPX-UHFFFAOYSA-N	C=CC(CCCCC)OC(C=C)CCCCC
pkc0000013	Predicted	1	C20H23O16P	ABRBFOCWCGYFKL-UHFFFAOYSA-N	C=C(OC1CC(C(=O)O)=CC(OC(=O)C2=CC(OP(=O)(O)O)C(O)C(OC(=C)C(=O)O)C2)C1O)C(=O)O
pkc0000014	Predicted	1	C3H4O2	LWVQWUXBEQVQEV-UHFFFAOYSA-N	C#CC(O)O
pkc0000015	Predicted	1	C10H16O2	QHNUQHHWOSQYTM-UHFFFAOYSA-N	C=C(C)C=CCC(C)(O)C(=C)O
pkc0000016	Predicted	1	C20H23O16P	GYZDIHSROAULHT-UHFFFAOYSA-N	C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)OC2C=C(C(=O)O)CC(OC(=C)C(=O)O)C2O)C1O)C(=O)O
pkc0000017	Predicted	1	C17H22O17P2	BHRKNBHIWLDHHI-UHFFFAOYSA-N	C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O
pkc0000018	Predicted	1	C10H10O7	IFTCBJJLABOMCD-UHFFFAOYSA-N	O=C(O)C1=CC(OC(=CO)C(=O)O)C(O)C=C1
pkc0000019	Predicted	1	C29H48O2	LKVNRPAGIRLRNF-UHFFFAOYSA-N	CC(C)C(=CO)CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)C1CC3
pkc0000020	Predicted	1	C28H46O2	QCVWWOUTTIGCLQ-UHFFFAOYSA-N	C=C(CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(O)C1CC3)C(C)C
pkc0000021	Predicted	1	C6H10O3	IISHLYLZTYTIJJ-UHFFFAOYSA-N	C=C(C)C(=O)OC(C)O
pkc0000022	Predicted	1	C8H14O2	KASOCIMKFXJNQF-UHFFFAOYSA-N	C=CC(=O)CCC(O)CC
pkc0000023	Predicted	1	C10H18O3	UZGHKCNTFYYRRX-UHFFFAOYSA-N	C=CC1(C)CCC(O)(C(C)(C)O)O1
pkc0000024	Predicted	1	C7H12O3	PFFCHUHMPJCCNM-UHFFFAOYSA-N	C=C(O)C(=O)OCC(C)C
pkc0000025	Predicted	1	C28H40O	IFJOTDVBAMODOT-UHFFFAOYSA-N	C=C(C=CC(C)C1CCC2C3=CC=C4CC(=O)CCC4(C)C3CCC21C)C(C)C
pkc0000026	Predicted	1	C17H22O17P2	HWNINKMGCWVOJN-UHFFFAOYSA-N	C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)OC2CC(C(=O)O)=CC(OP(=O)(O)O)C2O)C1O)C(=O)O
pkc0000027	Predicted	1	C12H20O3	DMRQUPTZNCBYQC-UHFFFAOYSA-N	C=C(O)C(C)(CCC=C(C)C)OC(C)=O
pkc0000028	Predicted	1	C28H44O2	FWGXJTXVNLHZLC-UHFFFAOYSA-N	C=C(CCC(C)C1CCC2C3=CC(O)=C4CC(O)CCC4(C)C3CCC21C)C(C)C
pkc0000029	Predicted	1	C10H18O	GPVKUNYYWAKDRY-UHFFFAOYSA-N	C=CC1(C)CCC(C(C)C)O1
pkc0000030	Predicted	1	C3H7NOS	UUEZMFJKFJEZTG-UHFFFAOYSA-N	OC1CSCN1
pkc0000031	Predicted	1	C28H46O2	BPBHRWWYOUKCLK-UHFFFAOYSA-N	C=C(CCC(C)C1CCC2C3=CCC4CC(O)C(O)CC4(C)C3CCC21C)C(C)C
pkc0000032	Predicted	1	C20H18O11	PUXOJRJTLVAVJT-UHFFFAOYSA-N	C=C(OC1C=C(C(=O)OC(=O)C2=CC(OC(=C)C(=O)O)C(O)C=C2)C=CC1O)C(=O)O
pkc0000033	Predicted	1	C16H20O11	NKIMBLARIMRGQP-VHSYBEQOSA-N	C=C(OC1C=C(C(=O)O)C=CC1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=O)O
pkc0000034	Predicted	1	C28H46O2	LISJTWCCTZBBDE-UHFFFAOYSA-N	CC(C)C(=CO)CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)CC1CC3
pkc0000035	Predicted	1	C10H10O5	UHYLNVNMQOTLQM-UHFFFAOYSA-N	C=C(OC1C=C(C(=O)O)C=CC1)C(=O)O
pkc0000036	Predicted	1	C28H42O2	NEBAMQIYXRIZJH-UHFFFAOYSA-N	C=C(C(O)=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C)C(C)C
pkc0000037	Predicted	1	C13H13NO7	IXRICQJZIORGAF-UHFFFAOYSA-N	C=C(OC(=O)C1=CC(OC(=C)C(=O)O)C(N)C=C1)C(=O)O
pkc0000038	Predicted	1	C10H18O3	GEFKCBVNZZMNLH-UHFFFAOYSA-N	C=CC1(CO)CCC(C(C)(C)O)O1
pkc0000039	Predicted	1	C28H44O2	WQCGDCONTAEOOQ-UHFFFAOYSA-N	C=C(CC(O)C(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C)C(C)C
pkc0000040	Predicted	1	C20H20N2O9	NDDKWGMRBNNXLS-UHFFFAOYSA-N	C=C(OC1C=C(C(=O)OC(=O)C2=CC(OC(=C)C(=O)O)C(N)C=C2)C=CC1N)C(=O)O
pkc0000041	Predicted	1	C28H42O2	GIQHRXOCYFEWRH-UHFFFAOYSA-N	C=C(C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3(O)CCC21C)C(C)C
pkc0000042	Predicted	1	C10H18O3	IGCYSUZDIQLHNJ-UHFFFAOYSA-N	CC(C)(O)C=CCC(C)(O)C=CO
pkc0000043	Predicted	1	C8H16O2	DGSOYHUFZOXPKN-UHFFFAOYSA-N	CCCCCC(O)C=CO
pkc0000044	Predicted	1	C8H14O2	MGAQLNTUWMGKEK-UHFFFAOYSA-N	C=CC(=O)CC(O)CCC
pkc0000045	Predicted	1	C68H66N8O7	WWMPTWVDONNMFJ-UHFFFAOYSA-N	C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)OC(=O)CCc1c(C)c2cc5nc(cc6[nH]c(cc7nc(cc1[nH]2)C(CCC(=O)O)=C7C)c(C)c6C=C)C(C)=C5C=C)C(CCC(=O)O)=C4C)c(C)c3C=C
pkc0000046	Predicted	1	C28H46O2	PNHZXSCVJQTOAM-UHFFFAOYSA-N	C=C(C(C)C)C(O)CC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C
pkc0000047	Predicted	1	C17H16O9	WNCYIEUJIZFKRV-UHFFFAOYSA-N	C=C(OC1C=C(C(=O)O)C=CC1OC1C=C(C(=O)O)C=CC1O)C(=O)O
pkc0000048	Predicted	1	C16H28O7	JKFPFJGJDIMFCR-LNQZYEQQSA-N	C=CC(C)(O)CCC(O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=C)C
pkc0000049	Predicted	1	C68H66N8O7	LOWCRAHFMVUZIV-UHFFFAOYSA-N	C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)OC(=O)CCC1=C(C)c2cc5[nH]c(cc6nc(cc7[nH]c(cc1n2)c(CCC(=O)O)c7C)C(C=C)=C6C)c(C=C)c5C)=C4C)c(C)c3C=C
pkc0000050	Predicted	1	C34H36N4O4	FJPYSOVKMWQIQF-UHFFFAOYSA-N	C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(O)O)=C4C)c(C)c3C=C
pkc0000051	Predicted	1	C28H42O2	VDQNQAREOJVMRB-UHFFFAOYSA-N	C=C(C=CC(C)C1CCC2(O)C3=CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C
pkc0000052	Predicted	1	C13H20O2	MGDNHAPOHYCWSM-UHFFFAOYSA-N	C=C1C=CCC(C)(C)C12CCC(CO)O2
pkc0000053	Predicted	1	C10H13O9P	UNFHYBNCHWZLQL-UHFFFAOYSA-N	C=C(C=O)OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O
pkc0000054	Predicted	1	C12H20O3	ZITOUMXPLCHAMB-UHFFFAOYSA-N	C=CC(C)(OC(C)=O)C(O)CC=C(C)C
pkc0000055	Predicted	1	C10H18O3	LEZAQJUJKFLOAU-UHFFFAOYSA-N	C=CC1(C)CCC(C(C)(O)CO)O1
pkc0000056	Predicted	1	C28H42O2	UOILEIRKRBAMJJ-UHFFFAOYSA-N	C=C(C=CC(CO)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C)C(C)C
pkc0000057	Predicted	1	C28H46O2	YXENBIZBOBCOBM-UHFFFAOYSA-N	C=C(CCC(C)C1CCC2C3=C(CC(O)C21C)C1(C)CCC(O)CC1CC3)C(C)C
pkc0000058	Predicted	1	C34H34N4O5	QHRWALCOUNDXHH-UHFFFAOYSA-N	C=CC1=C(C)c2cc3[nH]c(cc4nc(c(O)c5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C
pkc0000059	Predicted	1	C17H16O9	WXEVBIIJRWBEKF-UHFFFAOYSA-N	C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)OC1C=C(C(=O)O)C=CC1O
pkc0000060	Predicted	1	C10H16O2	KTQCAKBMCRISCN-UHFFFAOYSA-N	C=CC(C)(O)CC=CC(C)=CO
pkc0000061	Predicted	1	C8H14O2	XWZFTIYINCWGHZ-UHFFFAOYSA-N	CCCCCC(=O)C=CO
pkc0000062	Predicted	1	C34H34N4O5	ORDNKHSQAMZLDT-UHFFFAOYSA-N	C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5C=CO)c(C)c4CCC(=O)O)C(CCC(=O)O)=C3C
pkc0000063	Predicted	1	C10H13O11P	LFNCKWZGFQCOEL-UHFFFAOYSA-N	O=C(O)C1=CC(OP(=O)(O)O)C(O)C(OC(=CO)C(=O)O)C1
pkc0000064	Predicted	1	C20H24O19P2	KGRXKDGUVQQSGX-UHFFFAOYSA-N	C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1OC(=O)C(=C)OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O
pkc0000065	Predicted	1	C6H7O8P	SFPBFHSBKCWLNB-UHFFFAOYSA-N	C=C(OC(=O)C(=C)OP(=O)(O)O)C(=O)O
pkc0000066	Predicted	1	C10H18O2	UAQSXWGERXHLAG-UHFFFAOYSA-N	C=CC(C)=C(O)CCC(C)(C)O
pkc0000067	Predicted	1	C11H16O9	SKEPKAWANUTDSC-QVPLNXPXSA-N	C=C(CC(=O)O)C(=O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
pkc0000068	Predicted	1	C34H34N4O5	VZFYGMANVBPBSO-UHFFFAOYSA-N	C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=CO
pkc0000069	Predicted	1	C16H23O15P	PKACWAXKFPAEAP-RNJYAENNSA-N	C=C(OC1CC(C(=O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC(OP(=O)(O)O)C1O)C(=O)O
pkc0000070	Predicted	1	C10H16O	OQFFKVBVSAKEGI-UHFFFAOYSA-N	C=CC(=C)C(O)CC=C(C)C
pkc0000071	Predicted	1	C28H44O2	NPESDLVKOVWNDR-UHFFFAOYSA-N	CC(C)C(=CO)CCC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C
pkc0000072	Predicted	1	C29H48O2	HHPZAVMYJUZPQJ-UHFFFAOYSA-N	C=C(CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)C1CC3)C(C)CO
pkc0000073	Predicted	1	C7H12O3	CRHKWOKZQYKCAK-UHFFFAOYSA-N	CC(C)COC(=O)C=CO
pkc0000074	Predicted	1	C34H34N4O5	LHEXZSBXKSLEJG-UHFFFAOYSA-N	C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(CO)c3C=C
pkc0000075	Predicted	1	C28H44O2	FNKJWCXPMNOCCN-UHFFFAOYSA-N	C=C(CCC(C)C1CCC2C3=CC=C4CC(O)(O)CCC4(C)C3CCC21C)C(C)C
pkc0000076	Predicted	1	C8H16O2	GJOZWJMPOHJSSB-UHFFFAOYSA-N	C=CC(O)CCCC(C)O
pkc0000077	Predicted	1	C10H18O3	FNPUNTPSCJSUBC-UHFFFAOYSA-N	CC1(C=CO)CCC(C(C)(C)O)O1
pkc0000078	Predicted	1	C20H24O19P2	KLWJOTJHIBMVAU-UHFFFAOYSA-N	C=C(OC1CC(C(=O)OC(=O)C2=CC(OP(=O)(O)O)C(O)C(OC(=C)C(=O)O)C2)=CC(OP(=O)(O)O)C1O)C(=O)O
