id,SMILES
C05746,CC(O)(CC(N)C(=O)O)C(=O)O
C19616,CC(=CN)C(=O)O
C02201,NC(=O)CC(=O)C(=O)O
C11570,CCCC(=O)NC(CCO)C(=O)O
C05761,Cc1ncc2c(c1O)COC2=O
C21759,NC(CO)COCCC(N)C(=O)O
C18739,CCCCN(CCCC)N=O
C18745,O=NN1CCOCC1
C01892,Oc1cccc2[nH]ccc12
C11930,NC1C(O)C(O)OC(CO)C1O
C03521,N#CC(O)c1ccc(O)c(O)c1
C03692,CC(N)CC(N)C(=O)O
C01214,NC1C(O)C(O)C(OP(=O)(O)O)C(O)C1O
C16074,Cc1cc(O)cc(C)c1N
C14205,O=c1[nH]ncc2ccccc12
C16735,O=C1CC2OC(CO)CN12
C09695,O=C1OCCc2ccncc21
C20490,NC(C(=O)O)C(O)C(O)C(O)COP(=O)(O)O
C04208,CC(=O)NC1C(OP(=O)(O)O)OC(COP(=O)(O)O)C(O)C1O
C02869,NC(CO)(CO)C(=O)O
C03527,N#CCc1ccc(O)cc1
C19001,O=P(N1CC1)(N1CC1)N1CC1
C02729,NC1CCOC1=O
C00288,CN(CC(=O)O)C(=N)N
C00968,NC(CCCCNO)C(=O)O
C05759,Cc1ncc(C=O)c(C(=O)O)c1O
C14433,O=[N+]([O-])c1ccccc1[N+](=O)[O-]
C05060,O=C(O)CNC(=O)c1cccnc1
C18129,CNC(=O)C=C(C)OP(=O)(OC)OC
C11963,C=CCCNc1nnc(C(=O)OC)o1
C06400,O=C(O)C1=CCC2CC(=O)N12
C15474,O=C1C(O)Oc2ccccc2N1O
C00982,CN(CC(=O)O)C(N)=O
C04741,O=CCc1c[nH]cn1
C07890,NC(C(=O)O)C1CC(=O)NO1
C06874,Cc1ncc([N+](=O)[O-])n1CCO
C03731,CON=CC(C)C
C15938,CC1=NC(C(=O)O)C(O)CN1
C16068,NCCCCCNCCCN
C18789,OCCN1CC1
C10744,Cc1cccc(C)c1N
C02938,NC(CC(=O)NO)C(=O)O
C15281,O=CNCc1ccccc1
C22174,CC(O)C(CO)C(N)C(=O)O
C03703,O=C(CO)NC1C(=O)OC(CO)C(O)C1O
C18867,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
C20946,CC1OC(O)C(N)C(O)C1N
C20821,NCC(CCC(N)C(=O)O)C(=O)O
C16683,CC(C)CC=NO
C15475,O=C1C(O)Oc2cc(O)ccc2N1O
C16739,NC(CC1CN2C(=O)CC2O1)C(=O)O
C18784,COc1ccc(N)cc1
C05576,Cn1ccc(=O)c(C(N)=O)c1
C10337,NC(C(=O)O)c1cc(O)no1
C04016,CN(C)C(Cc1c[nH]cn1)C(=O)O
C18781,Nc1ccc(O)c([N+](=O)[O-])c1
C04039,O=C(O)C1=NCC(O)C1
C00540,NC1CCCCC1
C01040,NCCCC(=O)C(=O)O
C20798,NC(Cn1ccc(=O)o1)C(=O)O
C03314,CCC(C)(N)C(=O)O
C20820,NC(CCC(C(=O)O)C(N)C(=O)O)C(=O)O
C06761,C=Cc1ccccc1
C04442,O=C(O)C1CCC(O)C(O)C1
