id,SMILES
C15474,O=C1C(O)Oc2ccccc2N1O
C02616,CC(=O)c1ccc([N+](=O)[O-])cc1
C00279,Nc1ccccc1
C14131,Cc1ccc(N)cc1N
C00341,NC(Cc1ccc(O)c(O)c1)C(=O)O
C02195,Nc1ccn(C2OC(CO)C3OP(=O)(O)OC32)c(=O)n1
C20543,NC(=O)NOCC(N)C(=O)O
C06006,CCCC(NC(C)C(=O)O)C(=O)O
C15901,Cc1c(N)cc(N)cc1[N+](=O)[O-]
C06878,Nc1ccn(C2CCC(CO)O2)c(=O)n1
C01692,Nc1c[nH]c2ccccc12
C03722,NC1(C(=O)O)CCCC1
C16738,NC(C(=O)O)C(O)C1CN2C(=O)CC2O1
C20799,NC(Cc1c[nH]oc1=O)C(=O)O
C07420,O=[N+]([O-])OC1COC2C(O)COC12
C16893,CNC(=O)c1ccccc1N
C11930,NC1C(O)C(O)OC(CO)C1O
C07816,O=P(O)(O)OCC1OC([n+]2cccnc2)CC1O
C15898,Cc1c(NO)cc([N+](=O)[O-])cc1[N+](=O)[O-]
C19337,c1cc[nH]c1
C15282,NCc1ccccc1
C17580,CCOC(=O)c1cccc(N)c1
C10736,CN(C)NC(=O)CCC(=O)O
C15315,NC(=O)NC(=O)CC(=O)O
C17440,CC(=O)NC(CC[PH](=O)O)C(=O)O
C01037,C=C(CC(N)C(=O)O)C(N)=O
C18171,CCC(C)N
C18906,CN(N=O)c1ccc(N=O)cc1
C02319,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
C19703,CC(=O)N(C)C
C20872,NC(=O)C1OC1C(=O)NCC(N)C(=O)O
C02527,C[n+]1ccccc1
C21405,CCC(C)C#N
C03083,CNC(Cc1c[nH]cn1)C(=O)O
C00961,O=C(O)c1ccc(O)nc1
C02454,C[N+](C)(C)CC(=O)CC(=O)O
C14426,O=C(O)CN(CC(=O)O)CC(=O)O
C06400,O=C(O)C1=CCC2CC(=O)N12
C14371,ON=C1Cc2ccccc2C1
C02333,N#CCC(N)C(=O)O
C02338,Nc1ccc(C(=O)O)c(O)c1
C04346,Cc1ncc(C(=O)O)c(C(=O)O)c1O
C09893,CC(O)CC1CCCN1C
C01872,N#Cc1cnccn1
C21761,[C-]#[N+]C=Cc1ccc(O)cc1
C05868,OCC1=CCN2CCC(O)C12
C00304,Cc1ncc(CO)c(CO)c1O
C18724,Cc1cnc[nH]1
C04030,O=[N+]([O-])c1ccc(OCC2CO2)cc1
C02130,C[N+](C)(C)CC(O)CC(N)=O
C03236,NC(C(=O)O)c1ccc(O)cc1
