id,SMILES
CH4,C
CPD0-1660,C#CC(N)CCCNC(=N)N
CPD0-1604,C#CC(O)C(=O)OCC
CPD-7656,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
CPD-13898,C#CCN(C)Cc1ccccc1
CPD-19547,C#CNC(C)C(=O)[O-]
HCN,C#N
CPD-10322,C(=NC1CCCCC1)=NC1CCCCC1
PORPHYRIN-RING,C1=CC2=NC1=CC1=NC(=CC3=NC(=CC4=NC(=C2)C=C4)C=C3)C=C1
CPD-19703,C1=NC=NC1
CPD-20034,C1=Nc2nc[nH]c2C2=NCCN12
CPD-6124,C1=[NH+]CCC1
CPD0-1376,C1CCC([NH2+]C2CCCCC2)CC1
STERONE-RING,C1CCC2C(C1)CCC1C3CCCC3CCC21
CPD-8923,C1CCCCC1
TETRAHYDROTHIOPHENE,C1CCSC1
CPD0-1682,C1COCCO1
ETHYLENE-CMPD,C=C
CPD-13859,C=C(C)C(=O)[O-]
DELTA3-ISOPENTENYL-PP,C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-]
ITACONATE,C=C(CC(=O)[O-])C(=O)[O-]
CPD0-1500,C=C(CC([NH3+])C(=O)[O-])CC([NH3+])C(=O)[O-]
CPD0-2072,C=C(CC[NH3+])[NH2+]C(CCCCNc1ccc2c(C)c(CC(=O)[O-])c(=O)oc2c1)C(=O)[O-]
4-AMINO-4-DEOXYCHORISMATE,C=C(OC1C=C(C(=O)[O-])C=CC1[NH3+])C(=O)[O-]
CPD0-1681,C=C(OC1C=C(C(=O)[O-])C=CCC1)C(=O)[O-]
ISOCHORISMATE,C=C(OC1C=CC=C(C(=O)[O-])C1O)C(=O)[O-]
3-ENOLPYRUVYL-SHIKIMATE-5P,C=C(OC1CC(C(=O)[O-])=CC(OP(=O)([O-])[O-])C1O)C(=O)[O-]
CPD-9924,C=C(OC1CC=C(C(=O)CCC(=O)[O-])C(C(=O)[O-])C1O)C(=O)[O-]
PHOSPHO-ENOL-PYRUVATE,C=C(OP(=O)([O-])[O-])C(=O)[O-]
2-AMINOACRYLATE,C=C([NH3+])C(=O)[O-]
6R-6-FLUORO-EPSP,C=C([O-])C(=O)OC1C(F)C(C(=O)[O-])=CC(OP(C)(=O)[O-])C1O
CPD-20921,C=C1CCOC2(C(O)C(C)(O)CO)NC(=O)C1(O)NC2=O
CPD-10205,C=C1OC(C)=C(O)C1=O
CPD0-1659,C=C=CC(N)CCCNC(=N)N
CPD0-1242,C=CC(C)=CC1(C)SC(O)=C(C)C1=O
CPD-13343,C=CC([NH3+])C(=O)[O-]
PROTOPORPHYRIN_IX,C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)[O-])C(CCC(=O)[O-])=C4C)c(C)c3C=C
CPD-14447,C=CC=C(O)C(=O)[O-]
OXOPENTENOATE,C=CCC(=O)C(=O)[O-]
CPD-19411,C=CCC([NH3+])C(=O)[O-]
CPD-9275,C=CCSS(=O)CC=C
CPD0-1413,C=CC[NH+]1CCC23CCCCC2C1Cc1ccc(O)cc13
PROTOPORPHYRINOGEN,C=Cc1c2[nH]c(c1C)Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(C)c1CCC(=O)[O-])Cc1[nH]c(c(C)c1C=C)C2
FORMALDEHYDE,C=O
CPD0-2581,CC(=CC(=O)OCCCCCCCCC(=O)[O-])CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O
HYDROXY-METHYL-BUTENYL-DIP,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CO
CPD-13930,CC(=CN)C(=O)OO
CPD-22332,CC(=CN)C(=O)[O-]
CPD-13927,CC(=CNC(N)=O)C(=O)OO
CPD-22331,CC(=CNC(N)=O)C(=O)[O-]
CPD-3344,CC(=NO)C(=O)[O-]
