Peak ID,Retention Time,Aggregate M/Z,Polarity,Compound Name,Predicted Structure (smiles),ID,Unnamed: 7
251,,100.9019,-,,,,
255,,101.0239,-,,,,
256,,101.0932,-,,,,
257,,101.9685,-,,,,
293,,107.0852,-,,,,
296,,107.2598,-,,,,
300,,108.0215,-,,,,
306,,108.9921,-,,,,
311,,109.1851,-,,,,
327,,111.1737,-,,,,
334,,112.9389,-,,,,
335,,112.9858,-,,,,
336,,113.0224,-,,,,
347,,114.9826,-,,,,
349,,115.004,-,,,,
355,,116.0713,-,,,,
357,,116.1556,-,,,,
368,,117.7907,-,,,,
371,,118.0229,-,,,,
374,,118.2979,-,,,,
375,,118.3114,-,,,,
377,,118.7304,-,,,,
386,,119.4374,-,,,,
387,,119.9259,-,,,,
391,,120.2277,-,,,,
392,,120.9105,-,,,,
411,,125.0342,-,,,,
414,,125.17,-,,,,
415,,125.9785,-,,,,
418,,126.0558,-,,,,
448,,130.9301,-,,,,
453,,131.0707,-,,,,
460,,132.0301,-,,,,
475,,134.0246,-,,,,
476,,134.0476,-,,,,
484,,135.0463,-,,,,
503,,139.0011,-,,,,
518,,141.9845,-,,,,
521,,142.0854,-,,,,
526,,142.9889,-,,,,
545,,145.1998,-,,,,
555,,146.9592,-,,,,
557,,147.03,-,,,,
566,,148.9401,-,,,,
572,,150.0537,-,,,,
577,,151.1123,-,,,,
578,,151.1739,-,,,,
580,,152.1334,-,,,,
588,,153.277,-,,,,
589,,153.3227,-,,,,
592,,153.5342,-,,,,
594,,153.9933,-,,,,
596,,154.061,-,,,,
598,,154.8751,-,,,,
603,,155.0772,-,,,,
605,,155.418,-,,,,
606,,155.9445,-,,,,
608,,156.0302,-,,,,
616,,157.0505,-,,,,
638,,161.0463,-,,,,
643,,161.9724,-,,,,
649,,162.9534,-,,,,
658,,164.6137,-,,,,
675,,167.193,-,,,,
686,,169.9931,-,,,,
689,,170.0967,-,,,,
690,,170.1202,-,,,,
694,,171.0112,-,,,,
700,,172.0976,-,,,,
702,,172.1766,-,,,,
706,,173.0087,-,,,,
710,,173.993,-,,,,
713,,174.2407,-,,,,
716,,175.3187,-,,,,
727,,177.0656,-,,,,
735,,178.9112,-,,,,
752,,181.9399,-,,,,
754,,182.0126,-,,,,
764,,183.9084,-,,,,
768,,184.1638,-,,,,
781,,186.0774,-,,,,
790,,187.1296,-,,,,
792,,187.9377,-,,,,
795,,188.0545,-,,,,
802,,189.0768,-,,,,
804,,190.0187,-,,,,
814,,191.976,-,,,,
815,,192.0263,-,,,,
820,,192.9891,-,,,,
821,,193.0254,-,,,,
838,,195.9198,-,,,,
846,,197.008,-,,,,
852,,197.8881,-,,,,
853,,198.0415,-,,,,
854,,198.0749,-,,,,
862,,199.0205,-,,,,
868,,199.3398,-,,,,
874,,200.1737,-,,,,
880,,201.0383,-,,,,
885,,201.9621,-,,,,
889,,202.1085,-,,,,
895,,203.0814,-,,,,
902,,204.9717,-,,,,
903,,205.0357,-,,,,
908,,205.9486,-,,,,
919,,207.9259,-,,,,
925,,208.9823,-,,,,
935,,210.0857,-,,,,
937,,210.8546,-,,,,
944,,211.2283,-,,,,
961,,214.9303,-,,,,
963,,214.9998,-,,,,
964,,215.0337,-,,,,
973,,217.0304,-,,,,
980,,218.0354,-,,,,
990,,219.2085,-,,,,
1003,,222.0368,-,,,,
1006,,222.9399,-,,,,
1016,,224.9571,-,,,,
1021,,225.1501,-,,,,
1026,,226.0407,-,,,,
1029,,226.1892,-,,,,
1040,,227.9889,-,,,,
1041,,228.0583,-,,,,
1045,,228.2664,-,,,,
1050,,229.1452,-,,,,
1058,,230.0604,-,,,,
1074,,232.1167,-,,,,
1082,,234.0767,-,,,,
1091,,236.0229,-,,,,
1095,,236.9092,-,,,,
1108,,238.9928,-,,,,
1111,,239.1279,-,,,,
1121,,241.0576,-,,,,
1122,,241.0813,-,,,,
1128,,241.9124,-,,,,
1129,,241.9971,-,,,,
1142,,243.1474,-,,,,
1150,,244.013,-,,,,
1153,,244.1624,-,,,,
1159,,245.1922,-,,,,
1168,,246.9889,-,,,,
1176,,248.1603,-,,,,
1186,,250.044,-,,,,
1191,,250.8481,-,,,,
1196,,251.197,-,,,,
1198,,252.0418,-,,,,
1205,,253.0828,-,,,,
1208,,253.2175,-,,,,
1210,,253.952,-,,,,
1214,,254.1479,-,,,,
1218,,254.8812,-,,,,
1219,,254.9185,-,,,,
1221,,255.0351,-,,,,
1228,,256.0898,-,,,,
1234,,257.0752,-,,,,
1245,,258.1055,-,,,,
1248,,258.2386,-,,,,
1257,,260.088,-,,,,
1260,,260.8879,-,,,,
1270,,262.1214,-,,,,
1289,,266.0065,-,,,,
1300,,267.3398,-,,,,
1301,,267.9827,-,,,,
1313,,269.3628,-,,,,
1319,,270.2462,-,,,,
1322,,270.9636,-,,,,
1328,,272.0888,-,,,,
1333,,273.0381,-,,,,
1336,,273.5387,-,,,,
1356,,277.0777,-,,,,
1359,,278.0272,-,,,,
1360,,278.122,-,,,,
1361,,278.1671,-,,,,
1366,,278.9914,-,,,,
1368,,279.0963,-,,,,
1369,,279.168,-,,,,
1377,,280.5553,-,,,,
1383,,281.0871,-,,,,
1384,,281.1124,-,,,,
1388,,281.8982,-,,,,
1390,,282.0168,-,,,,
1395,,282.9852,-,,,,
1401,,283.2647,-,,,,
1408,,284.9189,-,,,,
1418,,286.0584,-,,,,
1426,,287.1171,-,,,,
1432,,288.8793,-,,,,
1437,,289.1232,-,,,,
1441,,290.0373,-,,,,
1449,,291.9691,-,,,,
1450,,292.0682,-,,,,
1454,,292.9428,-,,,,
1456,,293.0513,-,,,,
1460,,294.05,-,,,,
1461,,294.117,-,,,,
1464,,294.9414,-,,,,
1474,,296.1794,-,,,,
1488,,298.1718,-,,,,
1492,,299.0252,-,,,,
