Peak ID,Retention Time,Aggregate M/Z,Polarity,Compound Name,Predicted Structure (smiles),ID,
0,,50.0043,-,,,,
1,,50.2807,-,,,,
2,,50.4272,-,,,,
3,,50.4732,-,,,,
4,,50.5736,-,,,,
5,,50.8674,-,,,,
6,,50.9839,-,,,,
7,,51.0250,-,,,,
8,,51.1619,-,,,,
9,,51.4522,-,,,,
10,,52.4869,-,,,,
11,,53.0155,-,,,,
12,,53.4657,-,,,,
13,,53.4839,-,,,,
14,,53.5257,-,,,,
15,,53.6159,-,,,,
16,,53.6750,-,,,,
17,,53.8255,-,,,,
18,,53.9719,-,,,,
19,,53.9967,-,,,,
20,,54.1215,-,,,,
21,,54.2731,-,,,,
22,,54.4249,-,,,,
23,,54.5548,-,,,,
24,,55.0194,-,,,,
25,,55.0485,-,,,,
26,,55.1708,-,,,,
27,,55.3240,-,,,,
28,,55.4756,-,,,,
29,,55.5366,-,,,,
30,,55.6275,-,,,,
31,,55.7091,-,,,,
32,,55.7788,-,,,,
33,,55.8642,-,,,,
34,,55.9286,-,,,,
35,,56.0139,-,,,,
36,,56.0791,-,,,,
37,,56.0950,-,,,,
38,,56.2314,-,,,,
39,,56.3638,-,,,,
40,,56.3821,-,,,,
41,,56.4772,-,,,,
42,,56.5348,-,,,,
43,,56.8375,-,,,,
44,,56.9615,-,,,,
45,,56.9992,-,,,,
46,,57.0350,-,,,,
47,,57.0612,-,,,,
48,,57.3038,-,,,,
49,,57.4570,-,,,,
50,,57.5135,-,,,,
51,,57.6090,-,,,,
52,,57.7595,-,,,,
53,,57.9778,-,,,,
54,,58.0322,-,,,,
55,,58.5266,-,,,,
56,,58.9934,-,,,,
57,,59.0148,-,,,,
58,,59.1423,-,,,,
59,,59.5870,-,,,,
60,,59.6208,-,,,,
61,,59.7771,-,,,,
62,,60.0181,-,,,,
63,,60.0439,-,,,,
64,,60.1057,-,,,,
65,,60.9881,-,,,,
66,,61.3256,-,,,,
67,,61.8082,-,,,,
68,,61.9894,-,,,,
69,,62.2319,-,,,,
70,,62.3649,-,,,,
71,,62.3898,-,,,,
72,,62.4532,-,,,,
73,,62.6096,-,,,,
74,,62.7763,-,,,,
75,,62.8543,-,,,,
76,,63.0957,-,,,,
77,,63.3973,-,,,,
78,,64.0301,-,,,,
79,,64.3751,-,,,,
80,,64.5356,-,,,,
81,,64.5662,-,,,,
82,,64.6995,-,,,,
83,,64.7835,-,,,,
84,,64.8603,-,,,,
85,,64.9504,-,,,,
86,,65.0189,-,,,,
87,,65.0470,-,,,,
88,,65.1106,-,,,,
89,,65.1818,-,,,,
90,,65.2726,-,,,,
91,,65.3415,-,,,,
92,,65.5047,-,,,,
93,,65.5465,-,,,,
94,,65.6665,-,,,,
95,,65.8289,-,,,,
96,,65.9941,-,,,,
97,,66.0341,-,,,,
98,,66.6458,-,,,,
99,,66.8103,-,,,,
100,,67.0307,-,,,,
101,,67.0564,-,,,,
102,,68.0505,-,,,,
103,,68.2617,-,,,,
104,,68.8845,-,,,,
105,,68.9961,-,,,,
